Code,Location,Parent,Children
AAA,French Polynesia,PPT,N/A
AAD,Somalia,MGQ,N/A
AAE,Algeria,ALG,N/A
AAL,Denmark,CPH,N/A
AAN,International Airport (AAN) is a smaller airport in United Arab Emirates,KWI,N/A
AAP,Samarinda Indonesia,SUB,N/A
AAQ,Anapa Russian Federation,DME,N/A
AAR,Denmark,CPH,N/A
AAT,China,URC,[KJI]
AAX,Brazil,UBA,N/A
ABA,Russian Federation,SVO,N/A
ABB,Nigeria,LOS,N/A
ABD,Iran,THR,N/A
ABE,Allentown United States,ORD,N/A
ABI,United States,DFW,N/A
ABJ,Cote d'Ivoire,ACC,[BYK; COO; HGO; KEO; LFW; SPY]
ABK,Kebri Dahar Ethiopia,JIJ,N/A
ABL,United States,OTZ,[OBU]
ABM,Australia,CNS,N/A
ABQ,Kirtland United States,PHX,[CNM; SVC]
ABR,United States,MSP,N/A
ABS,Egypt,ASW,N/A
ABT,Al-Baha Saudi Arabia,RUH,N/A
ABU,Atambua Indonesia,KOE,N/A
ABV,Nigeria,LOS,[BCU; CBQ; GMO; ILR; KAN; LOS; MIU; SKO; YOL]
ABX,Australia,SYD,N/A
ABY,Albany United States,ATL,N/A
ABZ,Aberdeen United Kingdom,LHR,[EBJ; KOI; LSI; NCL; WIC]
ACA,Acapulco Mexico,MEX,N/A
ACC,Accra,KMS,[ABJ; KMS; ROB; TKD; TML]
ACE,Spain,LPA,N/A
ACH,(ACH) is the fifth largest airport in Switzerland,VIE,N/A
ACI,St Anne United Kingdom,GCI,N/A
ACK,United States,BOS,[EWB; HYA; TEB]
ACT,United States,DFW,N/A
ACU,Panama,PAC,[PYC]
ACV,United States,SFO,N/A
ACX,China,KWE,N/A
ACY,United States,FLL,N/A
ACZ,Iran,THR,N/A
ADA,Turkey,SAW,N/A
ADB,Izmir,SAW,[IST; SAW]
ADD,Addis Ababa,MQX,[AMH; ASM; AWA; AXU; BCO; BJR; DEM; DIR; DSE; GDQ; GGR; GMB; GOB; HGA; JIB; JIJ; JIM; LLI; MQX; SHC; SZE]
ADE,Yemen,JIB,N/A
ADF,Turkey,IST,N/A
ADH,Russian Federation,GYG,[GYG]
ADK,United States,ANC,N/A
ADL,Australia,MEL,[BHQ; CED; KGC; MGB; MOO; OLP; PLO; PUG; WYA]
ADQ,United States,ANC,[AKK; KLN; KOZ; OLH; ORI]
ADU,Iran,THR,N/A
ADZ,San Andrés Colombia,BOG,N/A
AEB,Baise China,NNG,N/A
AEG,South Tapanuli Regency Indonesia,KNO,N/A
AEH,Chad,FYT,N/A
AEM,Russian Federation,NEI,N/A
AEP,Buenos Aires,COR,[AFA; BHI; BRC; CNQ; COR; CPC; CRD; CTC; EQS; FMA; FTE; IGR; IRJ; JUJ; LUQ; MDQ; MDZ; MVD; NQN; PDP; PRA; PSS; RCU; REL; RES; RGA; RGL; RHD; ROS; RSA; SDE; SFN; SLA; TUC; UAQ; USH; VDM]
