WKT,name,description
"LINESTRING (7.263169765472412 9.006790161132812, 10.896388888899999 10.298333333299999, 7.263169765472412 9.006790161132812, 3.97832989692688 7.362460136413574, 7.263169765472412 9.006790161132812, 4.493919849395752 8.440210342407227, 7.263169765472412 9.006790161132812, 8.52462 12.0476, 7.263169765472412 9.006790161132812, 13.080900192260742 11.855299949645996, 7.263169765472412 9.006790161132812, 5.207190036773682 12.916299819946289, 7.263169765472412 9.006790161132812, 12.430399894714355 9.257550239562988, 7.263169765472412 9.006790161132812, 3.321160078048706 6.5773701667785645, 6.665278 6.204167, 3.321160078048706 6.5773701667785645, 5.3010101318359375 7.246739864349365, 3.321160078048706 6.5773701667785645, 5.5995001792907715 6.316979885101318, 3.321160078048706 6.5773701667785645, 8.347200393676758 4.976019859313965, 3.321160078048706 6.5773701667785645, 7.561960220336914 6.474269866943359, 3.321160078048706 6.5773701667785645, 8.869050025939941 9.639829635620117, 3.321160078048706 6.5773701667785645, 7.320109844207764 10.696000099182129, 3.321160078048706 6.5773701667785645, 6.94959020614624 5.0154900550842285, 3.321160078048706 6.5773701667785645, 7.206029891967773 5.427060127258301, 3.321160078048706 6.5773701667785645, 5.81778 5.59611, 3.321160078048706 6.5773701667785645, 8.093 4.8725, 3.321160078048706 6.5773701667785645)",ABV <-> LOS,
"LINESTRING (-0.16678600013256073 5.605189800262451, -3.9262900352478027 5.261390209197998, -5.073669910430908 7.738800048828125, -3.9262900352478027 5.261390209197998, 2.384350061416626 6.357230186462402, -3.9262900352478027 5.261390209197998, -5.55666017532 9.38718032837, -3.9262900352478027 5.261390209197998, -7.566999912261963 9.5, -7.58735990524292 7.272069931030273, -7.566999912261963 9.5, -3.9262900352478027 5.261390209197998, -6.660820007324219 4.746719837188721, -3.9262900352478027 5.261390209197998, -0.16678600013256073 5.605189800262451, 1.2545100450515747 6.165609836578369, -0.16678600013256073 5.605189800262451, -10.3623 6.23379, -0.16678600013256073 5.605189800262451, -1.7747600078582764 4.896059989929199, -0.16678600013256073 5.605189800262451, -0.8632140159606934 9.55718994140625, -0.16678600013256073 5.605189800262451, -1.5908199548721313 6.714560031890869)",ACC <-> KMS,
"LINESTRING (-13.6052 28.945499, -15.38659954071045 27.931900024414062, -13.863800048828125 28.452699661254883, -15.38659954071045 27.931900024414062, 6.57944011688 53.1197013855, -15.38659954071045 27.931900024414062, -16.3414993286 28.4827003479, -17.214599609375 28.029600143432617, -16.3414993286 28.4827003479, -17.7556 28.626499, -16.3414993286 28.4827003479, -17.887100219726562 27.814800262451172, -16.3414993286 28.4827003479, -15.38659954071045 27.931900024414062)",ACE <-> LPA,
"LINESTRING (-70.06020355 41.25310135, -70.95690155029297 41.67610168457031, -70.06020355 41.25310135, -71.1728973389 42.1904983521, -70.06020355 41.25310135, -74.060798645 40.85010147089999, -70.06020355 41.25310135, -70.28040314 41.66930008)",ACK <-> HYA,
"LINESTRING (27.156999588 38.2924003601, 28.751944 41.275278, 35.280399322499996 36.9822006226, 28.751944 41.275278, 38.4688987732 37.7313995361, 28.751944 41.275278, 43.025978088378906 39.654541015625, 28.751944 41.275278, 58.361 37.986801, 63.61330032348633 39.08330154418945, 58.361 37.986801, 53.007198 40.063301, 58.361 37.986801, 61.896702 37.6194, 58.361 37.986801, 59.826698 41.761101, 58.361 37.986801, 28.751944 41.275278, 35.4953994751 38.770401001, 28.751944 41.275278, 41.1166000366 37.929000854499996, 28.751944 41.275278, 35.488399505615234 33.820899963378906, 28.751944 41.275278, 40.5959625244 38.8592605591, 28.751944 41.275278, 44.2346000671 33.262500762900004, 36.51559829711914 33.4114990234375, 44.2346000671 33.262500762900004, 43.963199615478516 36.23759841918945, 44.2346000671 33.262500762900004, 45.316738128699996 35.5617485046, 44.2346000671 33.262500762900004, 28.751944 41.275278, 41.5997009277 41.6102981567, 31.016700744628906 52.527000427246094, 41.5997009277 41.6102981567, 28.751944 41.275278, 28.488300323486328 44.36220169067383, 28.751944 41.275278, 40.201000213600004 37.893901825, 28.751944 41.275278, 29.7012996674 37.7855987549, 28.751944 41.275278, 39.527000427199994 39.7102012634, 28.751944 41.275278, 41.17020034789999 39.9565010071, 29.5625991821 40.2551994324, 41.17020034789999 39.9565010071, 28.751944 41.275278, 32.995098114 40.128101348899996, 26.4267997742 40.1376991272, 32.995098114 40.128101348899996, 27.919099807739258 41.13819885253906, 32.995098114 40.128101348899996, 28.751944 41.275278, 38.895592 37.445663, 28.751944 41.275278, 50.04669952392578 40.467498779296875, 38.150002 55.553299, 65.1707992553711 40.1171989440918, 38.150002 55.553299, 50.04669952392578 40.467498779296875, 28.751944 41.275278, 32.300598 36.299217, 28.751944 41.275278, 37.4786987305 36.9472007751, 28.751944 41.275278, 36.290000915527344 49.924800872802734, 28.751944 41.275278, 36.282222747800006 36.36277771, 28.751944 41.275278, 43.8766479492 39.9766273499, 28.751944 41.275278, 51.152198791503906 35.416099548339844, 44.404317 31.989853, 51.152198791503906 35.416099548339844, 28.751944 41.275278, 30.368400573699997 37.8554000854, 28.751944 41.275278, 30.894699096679688 50.345001220703125, 25.98080062866211 48.259300231933594, 30.894699096679688 50.345001220703125, 23.956100463867188 49.8125, 30.894699096679688 50.345001220703125, 35.31570053100586 47.867000579833984, 30.894699096679688 50.345001220703125, 28.751944 41.275278, 36.9535217285 37.5388259888, 28.751944 41.275278, 33.795799255371094 41.31420135498047, 28.751944 41.275278, 32.506401 46.6758, 28.751944 41.275278, 43.1150016784668 40.562198638916016, 28.751944 41.275278, 32.561901 37.979, 28.751944 41.275278, 30.128111 39.113079, 28.751944 41.275278, 38.0909996033 38.435298919699996, 28.751944 41.275278, 40.6316986084 37.223300933800004, 28.751944 41.275278, 41.66120147705078 38.747798919677734, 28.751944 41.275278, 35.521999 40.829399, 28.751944 41.275278, 34.5345 38.7719, 28.751944 41.275278, 42.0582 37.3647, 28.751944 41.275278, 35.066398620605 42.015800476074, 28.751944 41.275278, 30.67650032043457 46.42679977416992, 28.751944 41.275278, 18.331499099731445 43.82460021972656, 28.751944 41.275278, 21.621401 41.961601, 28.751944 41.275278, 41.84040069580078 37.97890090942383, 28.751944 41.275278, 69.2811965942 41.257900238, 64.4832992553711 39.775001525878906, 69.2811965942 41.257900238, 71.7450027466 40.358798980699994, 69.2811965942 41.257900238, 59.62329864501953 42.488399505615234, 69.2811965942 41.257900238, 67.30999755859375 37.28670120239258, 69.2811965942 41.257900238, 60.641700744628906 41.58430099487305, 69.2811965942 41.257900238, 28.751944 41.275278, 44.95470047 41.6692008972, 28.751944 41.275278, 34.88669967651367 32.01139831542969, 35.011416 29.723694, 34.88669967651367 32.01139831542969, 32.48569869995117 34.71799850463867, 34.88669967651367 32.01139831542969, 28.751944 41.275278, 44.2381 37.5497, 28.751944 41.275278)",ADB <-> IST,
"LINESTRING (38.799301147499996 8.97789001465, 37.59049987792969 6.0393900871276855, 36.562 5.78287, 37.59049987792969 6.0393900871276855, 38.799301147499996 8.97789001465, 38.910701751708984 15.291899681091309, 38.799301147499996 8.97789001465, 34.586299896240234 10.018500328063965, 38.799301147499996 8.97789001465, 38.5 7.066999912261963, 38.799301147499996 8.97789001465, 38.77280044555664 14.14680004119873, 38.799301147499996 8.97789001465, 44.94110107421875 10.389200210571289, 38.799301147499996 8.97789001465, 29.318500518798828 -3.3240199089050293, 38.799301147499996 8.97789001465, 49.14939880371094 11.275300025939941, 38.799301147499996 8.97789001465, 41.85419845581055 9.624699592590332, 38.799301147499996 8.97789001465, 39.71139907836914 11.082500457763672, 38.799301147499996 8.97789001465, 37.433998107910156 12.51990032196045, 38.799301147499996 8.97789001465, 34.5630989074707 8.12876033782959, 38.799301147499996 8.97789001465, 40.0463033 7.1160634, 38.799301147499996 8.97789001465, 44.08879852294922 9.518170356750488, 38.799301147499996 8.97789001465, 43.15950012207031 11.547300338745117, 38.799301147499996 8.97789001465, 42.9121 9.3325, 44.252998 6.734, 42.9121 9.3325, 43.5786018372 5.93513011932, 42.9121 9.3325, 38.799301147499996 8.97789001465, 36.81660079956055 7.66609001159668, 38.799301147499996 8.97789001465, 38.97999954223633 11.975000381469727, 38.799301147499996 8.97789001465, 45.3046989440918 2.0144400596618652, 38.799301147499996 8.97789001465, 39.53350067138672 13.467399597167969, 36.58300018310547 14.25, 39.53350067138672 13.467399597167969, 38.799301147499996 8.97789001465, 15.034 12.1337, 19.111099243164062 17.91710090637207, 20.84429931640625 13.847000122070312, 19.111099243164062 17.91710090637207, 15.034 12.1337, 18.374399 9.14444, 16.071399688720703 8.624409675598145, 18.374399 9.14444, 15.034 12.1337, 38.799301147499996 8.97789001465, 37.32160186767578 11.608099937438965)",ADD <-> BJR,
"LINESTRING (-58.4156 -34.5592, -68.4039 -34.588299, -58.4156 -34.5592, -62.1693 -38.725, -58.4156 -34.5592, -58.7619 -27.4455, -58.4156 -34.5592, -64.208 -31.323601, -58.4156 -34.5592, -71.137299 -40.075401, -58.4156 -34.5592, -67.4655 -45.7853, -58.4156 -34.5592, -65.751701355 -28.5956001282, -58.4156 -34.5592, -71.139503479 -42.908000946, -58.4156 -34.5592, -58.2281 -26.2127, -58.4156 -34.5592, -72.053101 -50.2803, -58.4156 -34.5592, -54.4734 -25.737301, -58.4156 -34.5592, -66.7957992554 -29.3815994263, -58.4156 -34.5592, -65.097801 -24.392799, -58.4156 -34.5592, -66.3563995361 -33.2732009888, -58.4156 -34.5592, -57.5733 -37.9342, -58.4156 -34.5592, -68.7929000854 -32.8316993713, -58.4156 -34.5592, -68.155701 -38.949001, -58.4156 -34.5592, -55.09429931640625 -34.855098724365234, -58.4156 -34.5592, -65.1027 -42.7592, -58.4156 -34.5592, -60.4804 -31.7948, -58.4156 -34.5592, -55.9707 -27.3858, -58.4156 -34.5592, -65.2703 -43.2105, -58.4156 -34.5592, -59.0561 -27.45, -58.4156 -34.5592, -67.7494 -53.7777, -58.4156 -34.5592, -69.3126 -51.6089, -58.4156 -34.5592, -64.93595 -27.4966, -58.4156 -34.5592, -60.785 -32.9036, -58.4156 -34.5592, -64.275703 -36.588299, -64.2612991333 -33.0850982666, -64.275703 -36.588299, -58.4156 -34.5592, -64.3099975586 -27.765556335399996, -58.4156 -34.5592, -60.8117 -31.7117, -58.4156 -34.5592, -65.4861984253 -24.856000900299996, -58.4156 -34.5592, -65.104897 -26.8409, -58.4156 -34.5592, -68.418198 -31.571501, -58.4156 -34.5592, -68.2958 -54.8433, -58.4156 -34.5592, -63.0004 -40.8692, -58.4156 -34.5592, -71.157501 -41.151199)",AEP <-> BRC,
"LINESTRING (-18.07270050048828 65.66000366210938, -18.0173 66.5458, -18.07270050048828 65.66000366210938, -15.335599899291992 66.21849822998047, -14.850600242614746 65.72059631347656, -15.335599899291992 66.21849822998047, -18.07270050048828 65.66000366210938, -21.9405994415 64.1299972534, -14.401399612426758 65.2833023071289, -21.9405994415 64.1299972534, -23.135299682617188 66.05809783935547, -21.9405994415 64.1299972534)",AEY <-> RKV,
"LINESTRING (-3.83951997756958 35.177101135253906, -5.320020198822 35.594299316406)",AHU <-> TTU,
"LINESTRING (-159.994995117 70.6380004883, -156.766008 71.285402, -151.005996704 70.2099990845, -156.766008 71.285402, -163.0050049 69.73290253, -156.766008 71.285402, -159.994995117 70.6380004883, -157.43600463867188 70.46730041503906)",AIN <-> ATK,
