WKT,name,description
"LINESTRING (33.8358001709 31.073299408, -145.50999450683594 -17.35260009765625)",AAC -> AAA,11488.028668488536 mi
"LINESTRING (7.809174 36.822201, 33.8358001709 31.073299408)",AAE -> AAC,1538.3890117411966 mi
"LINESTRING (-85.02749634 29.72750092, 7.809174 36.822201)",AAF -> AAE,5165.761918031455 mi
"LINESTRING (6.186388969421387 50.823055267333984, 7.809174 36.822201)",AAH -> AAE,970.689455583343 mi
"LINESTRING (173.63699340820312 0.1852779984474182, -145.50999450683594 -17.35260009765625)",AAK -> AAA,3030.68623932845 mi
"LINESTRING (9.84924316406 57.0927589138, 6.186388969421387 50.823055267333984)",AAL -> AAH,457.9114123645475 mi
"LINESTRING (31.544599533081055 -24.818099975585938, -85.02749634 29.72750092)",AAM -> AAF,8574.943096163246 mi
"LINESTRING (55.60919952392578 24.261699676513672, 33.8358001709 31.073299408)",AAN -> AAC,1410.0694684147043 mi
"LINESTRING (-64.4707260131836 9.430225372314453, -85.02749634 29.72750092)",AAO -> AAF,1931.1752459833153 mi
"LINESTRING (-95.58830261230001 29.722499847399998, -85.02749634 29.72750092)",AAP -> AAF,633.4523645078573 mi
"LINESTRING (37.347301483154 45.002101898193, 33.8358001709 31.073299408)",AAQ -> AAC,980.922945648507 mi
"LINESTRING (10.619000434899998 56.2999992371, 9.84924316406 57.0927589138)",AAR -> AAL,62.07252041763584 mi
"LINESTRING (88.08580780030002 47.7498855591, 37.347301483154 45.002101898193)",AAT -> AAQ,2382.493944638167 mi
"LINESTRING (124.7509994506836 6.366819858551025, 173.63699340820312 0.1852779984474182)",AAV -> AAK,3397.136281480074 mi
"LINESTRING (-46.960399627686 -19.563199996948, -64.4707260131836 9.430225372314453)",AAX -> AAO,2330.974649114429 mi
"LINESTRING (52.17499923706055 16.191699981689453, 55.60919952392578 24.261699676513672)",AAY -> AAN,600.3013936598878 mi
"LINESTRING (-91.501999 14.8656, -95.58830261230001 29.722499847399998)",AAZ -> AAP,1058.9683750249021 mi
"LINESTRING (91.38500213623047 53.7400016784668, 88.08580780030002 47.7498855591)",ABA -> AAT,438.1742686410308 mi
"LINESTRING (6.665278 6.204167, 7.809174 36.822201)",ABB -> AAE,2116.757751408768 mi
"LINESTRING (-1.8635200262099998 38.9485015869, 7.809174 36.822201)",ABC -> AAE,547.2380503405799 mi
"LINESTRING (48.2282981873 30.371099472, 55.60919952392578 24.261699676513672)",ABD -> AAN,618.9377158104063 mi
"LINESTRING (-75.44080352783203 40.652099609375, -85.02749634 29.72750092)",ABE -> AAF,927.5539291627366 mi
"LINESTRING (173.04100036621094 1.798609972000122, 173.63699340820312 0.1852779984474182)",ABF -> AAK,118.83215725197378 mi
"LINESTRING (146.584 -23.646099, 173.63699340820312 0.1852779984474182)",ABH -> AAK,2450.1385467300547 mi
"LINESTRING (-99.68190002440001 32.4113006592, -95.58830261230001 29.722499847399998)",ABI -> AAP,305.256891480857 mi
"LINESTRING (-3.9262900352478027 5.261390209197998, 6.665278 6.204167)",ABJ -> ABB,731.0438218822725 mi
"LINESTRING (44.252998 6.734, 52.17499923706055 16.191699981689453)",ABK -> AAY,845.0122195989996 mi
"LINESTRING (-157.856989 67.1063, 91.38500213623047 53.7400016784668)",ABL -> ABA,3358.160242299034 mi
"LINESTRING (142.459 -10.9508, 146.584 -23.646099)",ABM -> ABH,918.195590191444 mi
"LINESTRING (-54.05009841918945 5.512720108032227, -64.4707260131836 9.430225372314453)",ABN -> AAO,763.3302451788904 mi
"LINESTRING (-106.609001 35.040199, -99.68190002440001 32.4113006592)",ABQ -> ABI,437.4132270556523 mi
"LINESTRING (-98.42179870605469 45.449100494384766, -106.609001 35.040199)",ABR -> ABQ,837.8109121200285 mi
"LINESTRING (31.611700058 22.375999450699997, 33.8358001709 31.073299408)",ABS -> AAC,616.3558152179996 mi
"LINESTRING (41.6343002319 20.2961006165, 31.611700058 22.375999450699997)",ABT -> ABS,660.6977018357371 mi
"LINESTRING (7.263169765472412 9.006790161132812, 6.665278 6.204167)",ABV -> ABB,197.92576501150774 mi
"LINESTRING (146.95799255371094 -36.06779861450195, 146.584 -23.646099)",ABX -> ABH,858.5563465714067 mi
"LINESTRING (-84.19450378417969 31.535499572753906, -85.02749634 29.72750092)",ABY -> AAF,134.3789015605706 mi
"LINESTRING (-2.197779893875122 57.201900482177734, 9.84924316406 57.0927589138)",ABZ -> AAL,451.02402637531213 mi
"LINESTRING (-99.75399780273438 16.757099151611328, -91.501999 14.8656)",ACA -> AAZ,563.8798155641704 mi
"LINESTRING (-0.16678600013256073 5.605189800262451, -3.9262900352478027 5.261390209197998)",ACC -> ABJ,259.6804098145988 mi
"LINESTRING (-77.3 8.51667, -64.4707260131836 9.430225372314453)",ACD -> AAO,877.795582445064 mi
"LINESTRING (-13.6052 28.945499, -1.8635200262099998 38.9485015869)",ACE -> ABC,963.0168186349375 mi
"LINESTRING (153.007995605 -27.5702991486, 146.584 -23.646099)",ACF -> ABH,483.3087016150395 mi
"LINESTRING (9.560770034789998 47.4850006104, 6.186388969421387 50.823055267333984)",ACH -> AAH,276.423658151571 mi
"LINESTRING (-2.21472 49.706104, 6.186388969421387 50.823055267333984)",ACI -> AAH,378.77697232510127 mi
"LINESTRING (80.42790222170001 8.30148983002, 55.60919952392578 24.261699676513672)",ACJ -> AAN,1974.8498352777553 mi
"LINESTRING (-70.06020355 41.25310135, -75.44080352783203 40.652099609375)",ACK -> ABE,283.7843998581215 mi
"LINESTRING (-101.098998 29.332899, -99.68190002440001 32.4113006592)",ACN -> ABI,228.69231560310902 mi
"LINESTRING (46.127899169921875 37.347999572753906, 48.2282981873 30.371099472)",ACP -> ABD,496.85506415936493 mi
"LINESTRING (-72.4083 -0.5833, -77.3 8.51667)",ACR -> ACD,713.2866676230242 mi
"LINESTRING (90.57080078125 56.2682991027832, 91.38500213623047 53.7400016784668)",ACS -> ABA,177.64148875021561 mi
"LINESTRING (-97.23049926757812 31.611299514770508, -99.68190002440001 32.4113006592)",ACT -> ABI,153.8868016205851 mi
"LINESTRING (-124.109 40.978101, -106.609001 35.040199)",ACV -> ABQ,1034.87849625692 mi
"LINESTRING (104.959444444 25.0863888889, 88.08580780030002 47.7498855591)",ACX -> AAT,1816.454057315635 mi
"LINESTRING (-74.57720184326172 39.45759963989258, -75.44080352783203 40.652099609375)",ACY -> ABE,94.32627355236451 mi
"LINESTRING (61.54389953613281 31.09830093383789, 55.60919952392578 24.261699676513672)",ACZ -> AAN,595.5505152278903 mi
"LINESTRING (35.280399322499996 36.9822006226, 33.8358001709 31.073299408)",ADA -> AAC,416.5488813073083 mi
"LINESTRING (27.156999588 38.2924003601, 33.8358001709 31.073299408)",ADB -> AAC,626.3214789094009 mi
"LINESTRING (38.799301147499996 8.97789001465, 44.252998 6.734)",ADD -> ABK,404.17289530984544 mi
"LINESTRING (45.02880096435547 12.829500198364258, 44.252998 6.734)",ADE -> ABK,424.4594770423709 mi
